name,country,batting_style,bowling_style,playing_role,image
Aaron Johnson,United States of America,Right hand Bat,Legbreak Googly,Top order Batter,
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,
Nicholas Kirton,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ali Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,
Saurabh Netravalkar,United States of America,Right hand Bat,Left arm Fast medium,Bowler,
Jasdeep Singh,United States of America,Right hand Bat,Right arm Medium,Bowler,
Steven Taylor,United States of America,Left hand Bat,Right arm Offbreak,Opening Batter,
Corey Anderson,New Zealand,Left hand Bat,Left arm Medium fast,Batting Allrounder,
Aaron Jones,United States of America,Right hand Bat,Legbreak Googly,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391400/391444.2.png"
Nitish Kumar,Canada,Right hand Bat,Right arm Offbreak,Top order Batter,
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,
Lega Siaka,Papua New Guinea,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter,
Sese Bau,Papua New Guinea,Left hand Bat,Right arm Offbreak,Middle order Batter,
Hiri Hiri,Papua New Guinea,Right hand Bat,Right arm Offbreak,Middle order Batter,
Charles Amini,Papua New Guinea,Left hand Bat,Legbreak,Allrounder,
Chad Soper,Papua New Guinea,Right hand Bat,Right arm Medium fast,Bowler,
Alei Nao,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Kabua Morea,Papua New Guinea,Right hand Bat,Left arm Medium,Bowler,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.1.png"
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322039.1.png"
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.1.png"
Gudakesh Motie,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png"
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,
Sherfane Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322173.1.png"
Kashyap Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,
Naseem Khushi,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Khalid Kail,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mohammad Nadeem,Oman,Right hand Bat,Right arm Medium fast,Allrounder,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Shakeel Ahmed,Hong Kong,Right hand Bat,Slow Left arm Orthodox,Bowler,
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348607.1.png"
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322079.1.png"
Tangeni Lungameni,Namibia,Left hand Bat,Left arm Medium,Bowler,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,
Andries Gous,United States of America,Right hand Bat,NA ,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393400/393407.2.png"
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,
Nikolaas Davin,Namibia,Right hand Bat,Legbreak,Batter,
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355600/355644.2.png"
Matheesha Pathirana,Sri Lanka,Right hand Bat,Right arm Medium,Bowler,
Marco Jansen,South Africa,Right hand Bat,Left arm Fast,Bowling Allrounder,
