Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2020,601,Paediatric ENT,Child,0-15,18 Months +,1420
31-01-2020,601,Paediatric ENT,Child,16-64, 0-3 Months,18
31-01-2020,601,Paediatric ENT,Child,16-64, 3-6 Months,14
31-01-2020,601,Paediatric ENT,Child,16-64,12-15 Months,24
31-01-2020,1302,Paediatric Neurology,Child,0-15, 9-12 Months,50
31-01-2020,1302,Paediatric Neurology,Child,16-64,18 Months +,5
31-01-2020,1402,Paediatric Neurosurgery,Child,0-15, 3-6 Months,2
31-01-2020,1402,Paediatric Neurosurgery,Child,0-15,12-15 Months,1
31-01-2020,1503,Gynaecology,Child,0-15, 0-3 Months,61
31-01-2020,1503,Gynaecology,Child,0-15, 3-6 Months,47
31-01-2020,1503,Gynaecology,Child,0-15, 6-9 Months,2
31-01-2020,1503,Gynaecology,Child,16-64, 3-6 Months,2
31-01-2020,1700,Ophthalmology,Child,0-15, 0-3 Months,662
31-01-2020,1700,Ophthalmology,Child,0-15, 3-6 Months,440
31-01-2020,1700,Ophthalmology,Child,0-15,12-15 Months,216
31-01-2020,1700,Ophthalmology,Child,0-15,15-18 Months,188
31-01-2020,1700,Ophthalmology,Child,16-64, 3-6 Months,5
31-01-2020,1700,Ophthalmology,Child,16-64, 6-9 Months,4
31-01-2020,1700,Ophthalmology,Child,16-64,12-15 Months,3
31-01-2020,1700,Ophthalmology,Child,16-64,15-18 Months,7
31-01-2020,1802,Paed Orthopaedic,Child,0-15, 6-9 Months,611
31-01-2020,1802,Paed Orthopaedic,Child,0-15,12-15 Months,286
31-01-2020,1802,Paed Orthopaedic,Child,0-15,15-18 Months,283
31-01-2020,1900,Paediatrics,Child,0-15, 9-12 Months,300
31-01-2020,1902,Paed Cardiology,Child,16-64, 9-12 Months,49
31-01-2020,1905,Paed Endocrinology,Child,16-64, 9-12 Months,8
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,97
31-01-2020,1907,Paed Haematology,Child,0-15, 6-9 Months,65
31-01-2020,1907,Paed Haematology,Child,0-15, 9-12 Months,29
31-01-2020,1907,Paed Haematology,Child,0-15,15-18 Months,3
31-01-2020,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,3
31-01-2020,1911,Paed Nephrology,Child,0-15, 9-12 Months,18
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15, 0-3 Months,293
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,101
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15,18 Months +,504
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64, 0-3 Months,3
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64, 3-6 Months,6
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64, 6-9 Months,6
